Date,Open,High,Low,Close,Adj Close,Volume
2021-03-03,8.686286,8.819705,8.433492,8.475624,8.473271,8777269
2021-03-04,8.426470,8.475624,8.293051,8.342205,8.339889,4390920
2021-03-05,8.286029,8.328161,8.194742,8.250918,8.248628,3735272
2021-03-08,8.328161,8.377315,8.075367,8.103455,8.101205,5012440
2021-03-09,8.124521,8.180698,8.012168,8.075367,8.073125,3170637
2021-03-10,8.131543,8.377315,8.075367,8.215808,8.213527,6991233
2021-03-11,8.236874,8.279007,8.082389,8.096433,8.094185,3017719
2021-03-12,8.096433,8.468602,8.096433,8.187720,8.185447,10308778
2021-03-15,8.454558,8.616065,8.321139,8.363271,8.360949,10419152
2021-03-16,8.398382,8.594999,8.307095,8.419448,8.417110,6723334
2021-03-17,8.321139,8.321139,8.047279,8.047279,8.045045,7302715
2021-03-18,8.047279,8.152610,7.878749,7.899816,7.897623,3405084
2021-03-19,7.878749,7.892793,7.625955,7.724264,7.722120,4631369
2021-03-22,7.120367,7.316985,6.951838,6.951838,6.949908,4359597
2021-03-23,6.390073,7.232720,6.258058,6.895661,6.893746,10145870
2021-03-24,7.036102,7.373161,6.993970,7.232720,7.230712,6173025
2021-03-25,7.302941,7.443382,6.946220,7.120367,7.118390,5593637
2021-03-26,7.239742,7.274852,6.881617,6.993970,6.992028,4535315
2021-03-29,6.996779,7.148455,6.991161,7.010823,7.008876,3502519
2021-03-30,7.013632,7.401249,6.932176,7.155477,7.153491,6149727
2021-03-31,7.176543,7.260808,7.029080,7.050146,7.048189,6758993
2021-04-01,7.162499,7.338051,7.099301,7.162499,7.160511,6336788
2021-04-02,7.239742,7.703198,7.218676,7.583823,7.581717,17075982
2021-04-05,7.675110,7.934926,7.661066,7.780441,7.778281,17152726
2021-04-06,7.780441,7.941948,7.632977,7.892793,7.890602,8444567
2021-04-07,7.892793,8.110477,7.780441,8.047279,8.045045,11183864
2021-04-08,8.103455,8.328161,8.075367,8.271985,8.269689,13754791
2021-04-09,8.314117,8.314117,7.899816,8.096433,8.094185,11151508
2021-04-12,8.117499,8.152610,7.801507,7.871727,7.869542,6615424
2021-04-13,7.948970,7.955992,7.639999,7.759374,7.757220,5566380
2021-04-14,7.836617,8.075367,7.836617,8.075367,8.073125,4470989
2021-04-15,8.117499,8.166654,7.829595,7.864705,7.862522,3618732
2021-04-16,7.864705,8.145588,7.794485,8.075367,8.073125,6294023
2021-04-19,8.082389,8.215808,7.899816,7.899816,7.897623,6475835
2021-04-20,7.899816,8.040257,7.576801,7.576801,7.574697,5428514
2021-04-21,7.590845,7.632977,6.988352,7.092279,7.090310,6489357
2021-04-22,7.022058,7.654043,6.904088,7.548713,7.546618,7431460
2021-04-26,7.527646,7.661066,7.450404,7.611911,7.609797,5522305
2021-04-27,7.647021,7.984080,7.625955,7.850661,7.848481,3978106
2021-04-28,7.857683,8.040257,7.731286,7.955992,7.953784,3919854
2021-04-29,7.991102,8.117499,7.885771,7.984080,7.981863,3204971
2021-04-30,8.005146,8.222830,7.948970,8.180698,8.178427,4981587
2021-05-03,8.250918,8.405404,8.222830,8.321139,8.318830,5469393
2021-05-04,8.328161,8.328161,8.005146,8.187720,8.185447,7277167
2021-05-05,8.173676,8.208786,7.963014,8.033235,8.031004,4334989
2021-05-06,8.033235,8.124521,7.899816,7.899816,7.897623,3446304
2021-05-07,7.899816,8.012168,7.710220,7.794485,7.792321,4852935
2021-05-10,7.815551,7.963014,7.801507,7.822573,7.820401,3758548
2021-05-11,7.794485,7.941948,7.639999,7.639999,7.637878,6743855
2021-05-12,7.647021,7.689154,7.527646,7.682132,7.679999,1413303
2021-05-17,7.745330,7.991102,7.731286,7.780441,7.778281,4246005
2021-05-18,7.850661,7.913860,7.787463,7.801507,7.799341,2331752
2021-05-20,7.787463,7.857683,7.661066,7.682132,7.679999,3014187
2021-05-21,7.675110,7.724264,7.295918,7.548713,7.546618,3152145
2021-05-24,7.555735,7.583823,7.302941,7.401249,7.399194,2367574
2021-05-25,7.394227,7.611911,7.127389,7.127389,7.125410,4420726
2021-05-26,7.253786,7.338051,7.043124,7.260808,7.258792,2784981
2021-05-27,7.302941,7.302941,7.148455,7.148455,7.146471,1779058
2021-05-28,7.008014,7.113345,6.850720,7.092279,7.090310,3231552
2021-05-31,7.029080,7.113345,6.892852,6.960264,6.958332,2354110
2021-06-01,6.943411,7.022058,6.684999,6.811396,6.809505,4510308
2021-06-02,6.755220,7.092279,6.684999,6.982735,6.980796,4100015
2021-06-03,6.985543,7.057168,6.814205,6.873191,6.871283,3097147
2021-06-04,6.881617,7.008014,6.881617,6.971499,6.969563,2071935
2021-06-07,6.974308,7.071213,6.926558,6.946220,6.944292,2520443
2021-06-08,6.949029,7.008014,6.890043,7.008014,7.006069,1680390
2021-06-09,6.985543,7.534668,6.985543,7.253786,7.251772,7638258
2021-06-10,7.295918,7.611911,7.218676,7.457426,7.455356,3687230
2021-06-11,7.415293,7.710220,7.415293,7.625955,7.623838,2803294
2021-06-14,7.611911,7.850661,7.520624,7.654043,7.651918,3551949
2021-06-15,7.654043,7.934926,7.604889,7.808529,7.806361,6750491
2021-06-16,7.822573,8.012168,7.696176,7.766396,7.764240,5806423
2021-06-17,7.878749,7.892793,7.555735,7.738308,7.736159,4903597
2021-06-18,7.738308,8.033235,7.731286,7.991102,7.988883,9873621
2021-06-21,8.005146,8.173676,7.878749,7.885771,7.883582,30880951
2021-06-22,7.899816,8.131543,7.878749,8.005146,8.002924,5332873
2021-06-23,8.019191,8.236874,8.012168,8.033235,8.031004,5660078
2021-06-24,8.089411,8.187720,7.963014,8.005146,8.002924,4641452
2021-06-25,8.075367,8.166654,7.843639,7.899816,7.897623,3321390
2021-06-28,7.934926,8.019191,7.682132,7.724264,7.722120,3889543
2021-06-29,7.717242,7.745330,7.106323,7.253786,7.251772,9379478
2021-06-30,7.267830,7.373161,7.183566,7.211654,7.209652,4477162
2021-07-01,7.239742,7.478492,7.218676,7.359117,7.357074,3547563
2021-07-02,7.450404,7.513602,7.302941,7.387205,7.385154,3234315
2021-07-05,7.401249,7.457426,7.288896,7.309963,7.307934,3629711
2021-07-06,7.345073,7.408271,7.204632,7.324007,7.321974,3134059
2021-07-07,7.366139,7.471470,7.338051,7.352095,7.350054,5281848
2021-07-08,7.352095,7.401249,7.190588,7.211654,7.209652,3177743
2021-07-09,7.239742,7.316985,7.183566,7.225698,7.223692,3199873
2021-07-12,7.246764,7.295918,7.120367,7.197610,7.195611,2034104
2021-07-13,7.204632,7.204632,7.043124,7.099301,7.097330,3213566
2021-07-14,7.106323,7.352095,7.106323,7.324007,7.321974,1899001
2021-07-16,7.324007,7.450404,7.302941,7.422316,7.420255,2387896
2021-07-19,7.429338,7.668088,7.387205,7.499558,7.497476,2355947
2021-07-26,7.499558,7.583823,7.387205,7.401249,7.399194,2794059
2021-07-27,7.401249,7.492536,7.387205,7.471470,7.469396,2061617
2021-07-28,7.471470,7.611911,7.288896,7.302941,7.300913,3492038
2021-07-29,7.316985,7.380183,7.274852,7.302941,7.300913,2570770
2021-07-30,7.302941,7.485514,7.253786,7.288896,7.286872,3625639
2021-08-02,7.295918,7.408271,7.295918,7.366139,7.364094,3172623
2021-08-03,7.513602,7.689154,7.478492,7.541691,7.539597,35755362
2021-08-04,7.555735,7.752352,7.408271,7.555735,7.553638,24040207
2021-08-05,7.583823,7.696176,7.569779,7.675110,7.672979,5894069
2021-08-06,7.724264,7.892793,7.675110,7.752352,7.750200,8861973
2021-08-09,7.773418,7.787463,7.499558,7.513602,7.511516,5149045
2021-08-10,7.520624,7.808529,7.478492,7.766396,7.764240,7069059
2021-08-11,7.808529,8.033235,7.654043,8.019191,8.016964,10090630
2021-08-12,8.145588,8.496690,7.745330,7.808529,7.806361,35875946
2021-08-13,7.829595,7.970036,7.815551,7.864705,7.862522,9495000
2021-08-16,7.885771,7.913860,7.604889,7.611911,7.609797,7664055
2021-08-17,7.632977,7.654043,7.352095,7.443382,7.441315,10194588
2021-08-18,7.443382,7.541691,7.387205,7.394227,7.392174,5481355
2021-08-19,7.345073,7.471470,7.309963,7.401249,7.399194,6185123
2021-08-20,7.408271,7.527646,7.387205,7.415293,7.413234,4174993
2021-08-23,7.478492,7.583823,7.408271,7.422316,7.420255,6057603
2021-08-24,7.485514,7.492536,7.162499,7.218676,7.216672,9685528
